timeline,q,cap,K,period,pattern,victim,max_elapsed,argmax_session,c_actual,within_cap,violation_gt40
model,19,2,3,3,front-max,,24,0,436,1,0
model,19,2,3,3,back-max,,26,1,460,1,0
model,19,2,3,3,tail-max,,21,2,304,1,0
model,19,2,3,5,all-max,,38,0,690,1,0
model,19,2,3,5,victim-max,0,37,0,690,1,0
model,19,2,3,5,others-max,0,37,1,690,1,0
model,19,2,3,5,victim-max,1,37,1,690,1,0
model,19,2,3,5,others-max,1,37,0,690,1,0
model,19,2,3,5,victim-max,2,37,2,690,1,0
model,19,2,3,5,others-max,2,37,0,690,1,0
model,19,2,3,5,front-max,,24,0,436,1,0
model,19,2,3,5,back-max,,25,0,460,1,0
model,19,2,3,5,tail-max,,20,2,304,1,0
model,19,2,4,1,all-max,,38,0,690,1,0
model,19,2,4,1,victim-max,0,37,0,690,1,0
model,19,2,4,1,others-max,0,38,2,690,1,0
model,19,2,4,1,victim-max,2,37,2,690,1,0
model,19,2,4,1,others-max,2,37,0,690,1,0
model,19,2,4,1,victim-max,3,37,3,690,1,0
model,19,2,4,1,others-max,3,38,1,690,1,0
model,19,2,4,1,front-max,,24,0,436,1,0
model,19,2,4,1,back-max,,26,3,460,1,0
model,19,2,4,1,tail-max,,22,3,304,1,0
model,19,2,4,2,all-max,,38,0,690,1,0
model,19,2,4,2,victim-max,0,37,0,690,1,0
model,19,2,4,2,others-max,0,37,1,690,1,0
model,19,2,4,2,victim-max,2,37,2,690,1,0
model,19,2,4,2,others-max,2,38,0,690,1,0
model,19,2,4,2,victim-max,3,37,3,690,1,0
model,19,2,4,2,others-max,3,37,0,690,1,0
model,19,2,4,2,front-max,,24,0,436,1,0
model,19,2,4,2,back-max,,26,0,460,1,0
model,19,2,4,2,tail-max,,20,3,304,1,0
model,19,2,4,3,all-max,,38,1,690,1,0
model,19,2,4,3,victim-max,0,37,0,690,1,0
model,19,2,4,3,others-max,0,37,1,690,1,0
model,19,2,4,3,victim-max,2,37,2,690,1,0
model,19,2,4,3,others-max,2,38,1,690,1,0
model,19,2,4,3,victim-max,3,37,3,690,1,0
model,19,2,4,3,others-max,3,37,0,690,1,0
model,19,2,4,3,front-max,,24,0,436,1,0
model,19,2,4,3,back-max,,26,2,460,1,0
model,19,2,4,3,tail-max,,21,3,304,1,0
model,19,2,4,5,all-max,,38,3,690,1,0
model,19,2,4,5,victim-max,0,37,0,690,1,0
