N,K,regime,finish,slack,auth_span,hidden_len,overflow_len
17,1,hidden,673,722,28,28,0
17,2,hidden,673,722,35,35,0
17,3,paid,675,720,42,40,2
17,4,paid,682,713,49,40,9
17,5,paid,689,706,56,40,16
17,6,paid,696,699,63,40,23
17,7,paid,703,692,70,40,30
17,8,paid,710,685,77,40,37
17,9,paid,717,678,84,40,44
17,10,paid,724,671,91,40,51
17,11,paid,731,664,98,40,58
17,12,paid,738,657,105,40,65
17,13,paid,745,650,112,40,72
17,14,paid,752,643,119,40,79
17,15,paid,759,636,126,40,86
17,16,paid,766,629,133,40,93
17,17,paid,773,622,140,40,100
17,18,paid,780,615,147,40,107
17,19,paid,787,608,154,40,114
17,20,paid,794,601,161,40,121
18,0,hidden,694,701,0,0,0
18,1,paid,697,698,28,25,3
18,2,paid,704,691,35,25,10
18,3,paid,711,684,42,25,17
18,4,paid,718,677,49,25,24
18,5,paid,725,670,56,25,31
18,6,paid,732,663,63,25,38
18,7,paid,739,656,70,25,45
18,8,paid,746,649,77,25,52
18,9,paid,753,642,84,25,59
18,10,paid,760,635,91,25,66
18,11,paid,767,628,98,25,73
18,12,paid,774,621,105,25,80
18,13,paid,781,614,112,25,87
18,14,paid,788,607,119,25,94
18,15,paid,795,600,126,25,101
18,16,paid,802,593,133,25,108
18,17,paid,809,586,140,25,115
18,18,paid,816,579,147,25,122
18,19,paid,823,572,154,25,129
18,20,paid,830,565,161,25,136
19,0,hidden,715,680,0,0,0
19,1,paid,733,662,28,10,18
19,2,paid,740,655,35,10,25
19,3,paid,747,648,42,10,32
19,4,paid,754,641,49,10,39
19,5,paid,761,634,56,10,46
19,6,paid,768,627,63,10,53
19,7,paid,775,620,70,10,60
19,8,paid,782,613,77,10,67
19,9,paid,789,606,84,10,74
19,10,paid,796,599,91,10,81
19,11,paid,803,592,98,10,88
19,12,paid,810,585,105,10,95
19,13,paid,817,578,112,10,102
19,14,paid,824,571,119,10,109
19,15,paid,831,564,126,10,116
19,16,paid,838,557,133,10,123
19,17,paid,845,550,140,10,130
19,18,paid,852,543,147,10,137
19,19,paid,859,536,154,10,144
19,20,rejected,866,529,161,10,151
20,0,hidden,741,654,0,0,0
20,1,paid,769,626,28,0,28
20,2,paid,776,619,35,0,35
20,3,paid,783,612,42,0,42
20,4,paid,790,605,49,0,49
20,5,paid,797,598,56,0,56
20,6,paid,804,591,63,0,63
20,7,paid,811,584,70,0,70
20,8,paid,818,577,77,0,77
20,9,paid,825,570,84,0,84
20,10,paid,832,563,91,0,91
20,11,paid,839,556,98,0,98
20,12,paid,846,549,105,0,105
20,13,paid,853,542,112,0,112
20,14,paid,860,535,119,0,119
20,15,paid,867,528,126,0,126
20,16,paid,874,521,133,0,133
20,17,paid,881,514,140,0,140
20,18,paid,888,507,147,0,147
20,19,rejected,895,500,154,0,154
20,20,rejected,902,493,161,0,161
21,0,hidden,777,618,0,0,0
21,1,paid,805,590,28,0,28
21,2,paid,812,583,35,0,35
21,3,paid,819,576,42,0,42
21,4,paid,826,569,49,0,49
21,5,paid,833,562,56,0,56
21,6,paid,840,555,63,0,63
21,7,paid,847,548,70,0,70
21,8,paid,854,541,77,0,77
21,9,paid,861,534,84,0,84
21,10,paid,868,527,91,0,91
21,11,paid,875,520,98,0,98
21,12,paid,882,513,105,0,105
21,13,paid,889,506,112,0,112
21,14,paid,896,499,119,0,119
21,15,paid,903,492,126,0,126
21,16,paid,910,485,133,0,133
21,17,paid,917,478,140,0,140
21,18,rejected,924,471,147,0,147
21,19,rejected,931,464,154,0,154
21,20,rejected,938,457,161,0,161
22,0,hidden,813,582,0,0,0
22,1,paid,841,554,28,0,28
22,2,paid,848,547,35,0,35
22,3,paid,855,540,42,0,42
22,4,paid,862,533,49,0,49
22,5,paid,869,526,56,0,56
22,6,paid,876,519,63,0,63
22,7,paid,883,512,70,0,70
22,8,paid,890,505,77,0,77
22,9,paid,897,498,84,0,84
22,10,paid,904,491,91,0,91
22,11,paid,911,484,98,0,98
22,12,paid,918,477,105,0,105
22,13,paid,925,470,112,0,112
22,14,paid,932,463,119,0,119
22,15,paid,939,456,126,0,126
22,16,paid,946,449,133,0,133
22,17,rejected,953,442,140,0,140
22,18,rejected,960,435,147,0,147
22,19,rejected,967,428,154,0,154
22,20,rejected,974,421,161,0,161
23,0,hidden,849,546,0,0,0
23,1,paid,877,518,28,0,28
23,2,paid,884,511,35,0,35
23,3,paid,891,504,42,0,42
23,4,paid,898,497,49,0,49
23,5,paid,905,490,56,0,56
23,6,paid,912,483,63,0,63
23,7,paid,919,476,70,0,70
23,8,paid,926,469,77,0,77
23,9,paid,933,462,84,0,84
23,10,paid,940,455,91,0,91
23,11,paid,947,448,98,0,98
23,12,paid,954,441,105,0,105
23,13,paid,961,434,112,0,112
23,14,paid,968,427,119,0,119
23,15,paid,975,420,126,0,126
23,16,rejected,982,413,133,0,133
23,17,rejected,989,406,140,0,140
23,18,rejected,996,399,147,0,147
23,19,rejected,1003,392,154,0,154
23,20,rejected,1010,385,161,0,161
24,0,hidden,885,510,0,0,0
24,1,paid,913,482,28,0,28
24,2,paid,920,475,35,0,35
24,3,paid,927,468,42,0,42
24,4,paid,934,461,49,0,49
24,5,paid,941,454,56,0,56
24,6,paid,948,447,63,0,63
24,7,paid,955,440,70,0,70
24,8,paid,962,433,77,0,77
24,9,paid,969,426,84,0,84
24,10,paid,976,419,91,0,91
24,11,paid,983,412,98,0,98
24,12,paid,990,405,105,0,105
24,13,paid,997,398,112,0,112
24,14,paid,1004,391,119,0,119
24,15,rejected,1011,384,126,0,126
24,16,rejected,1018,377,133,0,133
24,17,rejected,1025,370,140,0,140
24,18,rejected,1032,363,147,0,147
24,19,rejected,1039,356,154,0,154
24,20,rejected,1046,349,161,0,161
25,0,hidden,921,474,0,0,0
25,1,paid,949,446,28,0,28
25,2,paid,956,439,35,0,35
25,3,paid,963,432,42,0,42
25,4,paid,970,425,49,0,49
25,5,paid,977,418,56,0,56
25,6,paid,984,411,63,0,63
25,7,paid,991,404,70,0,70
25,8,paid,998,397,77,0,77
25,9,paid,1005,390,84,0,84
25,10,paid,1012,383,91,0,91
25,11,paid,1019,376,98,0,98
25,12,paid,1026,369,105,0,105
25,13,paid,1033,362,112,0,112
25,14,rejected,1040,355,119,0,119
25,15,rejected,1047,348,126,0,126
25,16,rejected,1054,341,133,0,133
25,17,rejected,1061,334,140,0,140
25,18,rejected,1068,327,147,0,147
25,19,rejected,1075,320,154,0,154
25,20,rejected,1082,313,161,0,161
26,0,hidden,957,438,0,0,0
26,1,paid,985,410,28,0,28
26,2,paid,992,403,35,0,35
26,3,paid,999,396,42,0,42
26,4,paid,1006,389,49,0,49
26,5,paid,1013,382,56,0,56
26,6,paid,1020,375,63,0,63
26,7,paid,1027,368,70,0,70
26,8,paid,1034,361,77,0,77
26,9,paid,1041,354,84,0,84
26,10,paid,1048,347,91,0,91
26,11,paid,1055,340,98,0,98
26,12,paid,1062,333,105,0,105
26,13,rejected,1069,326,112,0,112
26,14,rejected,1076,319,119,0,119
26,15,rejected,1083,312,126,0,126
26,16,rejected,1090,305,133,0,133
26,17,rejected,1097,298,140,0,140
26,18,rejected,1104,291,147,0,147
