N,K,per_slac,per_dc,finish_med,finish_p95,finish_max,overrun_max,retx_slac_slots,retx_dc_slots,served_slac_slots,miss_cycles,total_cycles,worst_response,occ_med,occ_max
32,8,0.01,0,1231,1237,1246,17,11404,0,1164932,0,20000,1225,58,73
32,16,0.01,0,1286,1293,1302,17,22547,0,2329731,0,20000,1281,113,129
33,0,0.01,0,1209,1209,1209,0,0,0,0,0,20000,1188,0,0
33,1,0.01,0,1220,1222,1227,17,1475,0,145741,0,20000,1206,11,18
33,4,0.01,0,1233,1245,1252,17,5545,0,582514,0,20000,1231,24,43
33,8,0.01,0,1267,1273,1282,17,11557,0,1164899,0,20000,1261,58,73
33,16,0.01,0,1322,1329,1338,17,23570,0,2329736,0,20000,1317,113,129
34,0,0.01,0,1245,1245,1245,0,0,0,0,0,20000,1224,0,0
34,1,0.01,0,1256,1258,1263,17,1659,0,145709,0,20000,1242,11,18
34,4,0.01,0,1269,1281,1288,17,5587,0,582522,0,20000,1267,24,43
34,8,0.01,0,1303,1309,1318,17,11239,0,1164945,0,20000,1297,58,73
34,16,0.01,0,1358,1365,1374,17,22930,0,2329709,0,20000,1353,113,129
35,0,0.01,0,1281,1281,1281,0,0,0,0,0,20000,1260,0,0
35,1,0.01,0,1292,1294,1299,17,1587,0,145716,0,20000,1278,11,18
35,4,0.01,0,1305,1317,1324,17,6210,0,582523,0,20000,1303,24,43
35,8,0.01,0,1339,1345,1353,17,11094,0,1164885,0,20000,1332,58,72
35,16,0.01,0,1394,1401,1410,17,22335,0,2329692,6692,20000,1389,113,129
36,0,0.01,0,1317,1317,1317,0,0,0,0,0,20000,1296,0,0
36,1,0.01,0,1328,1330,1335,17,1444,0,145753,0,20000,1314,11,18
36,4,0.01,0,1341,1353,1360,17,6009,0,582518,0,20000,1339,24,43
36,8,0.01,0,1375,1381,1389,17,12077,0,1164937,0,20000,1368,58,72
36,16,0.01,0,1430,1437,1445,17,23719,0,2329709,20000,20000,1424,113,128
37,0,0.01,0,1353,1353,1353,0,0,0,0,0,20000,1332,0,0
37,1,0.01,0,1364,1366,1371,17,1220,0,145770,0,20000,1350,11,18
37,4,0.01,0,1377,1389,1397,17,5250,0,582462,18,20000,1376,24,44
37,8,0.01,0,1411,1417,1426,17,11426,0,1164912,19968,20000,1405,58,73
37,16,0.01,0,1466,1473,1482,17,23941,0,2329705,20000,20000,1461,113,129
38,0,0.01,0,1389,1389,1389,0,0,0,0,0,20000,1368,0,0
38,1,0.01,0,1400,1402,1407,17,1462,0,145758,11619,20000,1386,11,18
38,4,0.01,0,1413,1425,1432,17,6039,0,582522,20000,20000,1411,24,43
38,8,0.01,0,1447,1453,1462,17,11355,0,1164919,20000,20000,1441,58,73
38,16,0.01,0,1502,1509,1518,17,23527,0,2329696,20000,20000,1497,113,129
39,0,0.01,0,1425,1425,1425,0,0,0,0,20000,20000,1404,0,0
39,1,0.01,0,1436,1438,1443,17,1507,0,145712,20000,20000,1422,11,18
39,4,0.01,0,1449,1461,1468,17,5894,0,582497,20000,20000,1447,24,43
39,8,0.01,0,1483,1489,1498,17,11129,0,1164908,20000,20000,1477,58,73
39,16,0.01,0,1538,1545,1553,17,23592,0,2329722,20000,20000,1532,113,128
40,0,0.01,0,1461,1461,1461,0,0,0,0,20000,20000,1440,0,0
40,1,0.01,0,1472,1474,1479,17,1589,0,145712,20000,20000,1458,11,18
40,4,0.01,0,1485,1497,1504,17,5128,0,582527,20000,20000,1483,24,43
40,8,0.01,0,1519,1525,1534,17,12374,0,1164909,20000,20000,1513,58,73
40,16,0.01,0,1574,1581,1590,17,23393,0,2329683,20000,20000,1569,113,129
