policy,param,N0,K,seed,total_cycles,low_slack_cycles,low_slack_ev_cycles,low_slack2_cycles,low_slack2_ev_cycles,dc_ev_cycles,dc_misses,dc_misses_low_slack,dc_misses_low_slack2,min_plan_slack
acbs,25,0,20,6,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,7,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,8,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,9,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,10,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,11,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,12,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,13,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,14,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,15,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,16,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,17,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,18,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,19,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,20,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,35,1,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,2,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,3,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,4,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,5,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,6,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,7,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,8,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,9,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,10,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,11,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,12,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,13,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,14,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,15,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,16,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,17,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,18,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,19,120,0,0,0,0,3605,0,0,0,135
acbs,25,0,35,20,120,0,0,0,0,3605,0,0,0,135
acbs,25,15,1,1,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,2,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,3,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,4,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,5,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,6,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,7,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,8,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,9,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,10,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,11,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,12,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,13,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,14,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,15,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,16,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,17,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,18,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,19,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,1,20,120,0,0,0,0,1903,0,0,0,764
acbs,25,15,2,1,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,2,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,3,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,4,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,5,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,6,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,7,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,8,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,9,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,10,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,11,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,12,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,13,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,14,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,15,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,16,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,17,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,18,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,19,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,2,20,120,0,0,0,0,2006,0,0,0,743
acbs,25,15,5,1,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,2,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,3,120,0,0,0,0,2314,0,0,0,675
acbs,25,15,5,4,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,5,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,6,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,7,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,8,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,9,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,10,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,11,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,12,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,13,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,14,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,15,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,16,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,17,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,18,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,19,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,5,20,120,0,0,0,0,2315,0,0,0,675
acbs,25,15,10,1,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,2,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,3,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,4,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,5,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,6,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,7,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,8,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,9,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,10,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,11,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,12,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,13,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,14,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,15,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,16,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,17,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,18,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,19,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,10,20,120,0,0,0,0,2830,0,0,0,495
acbs,25,15,20,1,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,2,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,3,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,4,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,5,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,6,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,7,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,8,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,9,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,10,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,11,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,12,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,13,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,14,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,15,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,16,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,17,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,18,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,19,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,20,20,120,0,0,0,0,3860,0,0,0,135
acbs,25,15,35,1,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,2,120,0,0,103,3914,4169,1,0,1,27
acbs,25,15,35,3,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,4,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,5,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,6,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,7,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,8,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,9,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,10,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,11,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,12,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,13,120,0,0,103,3914,4169,1,0,1,27
acbs,25,15,35,14,120,0,0,103,3914,4169,1,0,1,27
acbs,25,15,35,15,120,0,0,103,3914,4169,1,0,1,27
acbs,25,15,35,16,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,17,120,0,0,103,3914,4169,0,0,0,27
acbs,25,15,35,18,120,0,0,103,3914,4169,1,0,1,27
acbs,25,15,35,19,120,0,0,103,3914,4169,2,0,2,27
acbs,25,15,35,20,120,0,0,103,3914,4169,0,0,0,27
acbs,25,30,1,1,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,2,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,3,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,4,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,5,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,6,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,7,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,8,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,9,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,10,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,11,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,12,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,13,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,14,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,15,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,16,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,17,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,18,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,19,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,1,20,120,0,0,0,0,3703,0,0,0,279
acbs,25,30,2,1,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,2,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,3,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,4,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,5,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,6,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,7,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,8,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,9,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,10,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,11,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,12,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,13,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,14,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,15,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,16,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,17,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,18,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,19,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,2,20,120,0,0,0,0,3806,0,0,0,243
acbs,25,30,5,1,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,2,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,3,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,4,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,5,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,6,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,7,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,8,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,9,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,10,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,11,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,12,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,13,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,14,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,15,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,16,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,17,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,18,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,19,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,5,20,120,0,0,0,0,4115,0,0,0,135
acbs,25,30,10,1,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,2,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,3,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,4,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,5,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,6,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,7,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,8,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,9,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,10,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,11,120,0,0,103,3914,4424,1,0,1,27
acbs,25,30,10,12,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,13,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,14,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,15,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,16,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,17,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,18,120,0,0,103,3914,4424,1,0,1,27
acbs,25,30,10,19,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,10,20,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,1,120,0,0,102,3876,4423,0,0,0,27
acbs,25,30,20,2,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,3,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,4,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,5,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,6,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,7,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,8,120,0,0,103,3914,4424,1,0,1,27
acbs,25,30,20,9,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,10,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,11,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,12,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,13,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,14,120,0,0,103,3914,4424,1,0,1,27
acbs,25,30,20,15,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,16,120,0,0,103,3914,4424,1,0,1,27
acbs,25,30,20,17,120,0,0,103,3914,4424,1,0,1,27
acbs,25,30,20,18,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,19,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,20,20,120,0,0,103,3914,4424,4,0,4,27
acbs,25,30,35,1,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,2,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,3,120,0,0,103,3914,4424,1,0,1,27
acbs,25,30,35,4,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,5,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,6,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,7,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,8,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,9,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,10,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,11,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,12,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,13,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,14,120,0,0,103,3914,4424,1,0,1,27
acbs,25,30,35,15,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,16,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,17,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,18,120,0,0,103,3914,4424,0,0,0,27
acbs,25,30,35,19,120,0,0,103,3914,4424,2,0,2,27
acbs,25,30,35,20,120,0,0,103,3914,4424,0,0,0,27
