N,K,IFS,finish_measured,finish_predicted,delta,delta_pred,knee_empirical,knee_predicted
1,1,3,352,352,0,0,15,15
1,4,3,352,352,0,0,14,14
1,8,3,352,352,0,0,12,12
1,16,3,352,352,0,0,9,9
2,0,3,376,376,0,0,0,0
2,1,3,376,376,0,0,15,15
2,4,3,376,376,0,0,14,14
2,8,3,376,376,0,0,12,12
2,16,3,376,376,0,0,9,9
3,0,3,400,400,0,0,0,0
3,1,3,400,400,0,0,15,15
3,4,3,400,400,0,0,14,14
3,8,3,400,400,0,0,12,12
3,16,3,400,400,0,0,9,9
4,0,3,424,424,0,0,0,0
4,1,3,424,424,0,0,15,15
4,4,3,424,424,0,0,14,14
4,8,3,424,424,0,0,12,12
4,16,3,424,424,0,0,9,9
5,0,3,448,448,0,0,0,0
5,1,3,448,448,0,0,15,15
5,4,3,448,448,0,0,14,14
5,8,3,448,448,0,0,12,12
5,16,3,448,448,0,0,9,9
6,0,3,472,472,0,0,0,0
6,1,3,472,472,0,0,15,15
6,4,3,472,472,0,0,14,14
6,8,3,472,472,0,0,12,12
6,16,3,472,472,0,0,9,9
7,0,3,496,496,0,0,0,0
7,1,3,496,496,0,0,15,15
7,4,3,496,496,0,0,14,14
7,8,3,496,496,0,0,12,12
7,16,3,496,496,0,0,9,9
8,0,3,520,520,0,0,0,0
8,1,3,520,520,0,0,15,15
8,4,3,520,520,0,0,14,14
8,8,3,520,520,0,0,12,12
8,16,3,520,520,0,0,9,9
9,0,3,544,544,0,0,0,0
9,1,3,544,544,0,0,15,15
9,4,3,544,544,0,0,14,14
9,8,3,544,544,0,0,12,12
9,16,3,547,547,3,3,9,9
10,0,3,568,568,0,0,0,0
10,1,3,568,568,0,0,15,15
10,4,3,568,568,0,0,14,14
10,8,3,568,568,0,0,12,12
10,16,3,589,589,21,21,9,9
11,0,3,592,592,0,0,0,0
11,1,3,592,592,0,0,15,15
11,4,3,592,592,0,0,14,14
11,8,3,592,592,0,0,12,12
11,16,3,631,631,39,39,9,9
12,0,3,616,616,0,0,0,0
12,1,3,616,616,0,0,15,15
12,4,3,616,616,0,0,14,14
12,8,3,617,617,1,1,12,12
12,16,3,673,673,57,57,9,9
13,0,3,640,640,0,0,0,0
13,1,3,640,640,0,0,15,15
13,4,3,640,640,0,0,14,14
13,8,3,659,659,19,19,12,12
13,16,3,715,715,75,75,9,9
14,0,3,664,664,0,0,0,0
14,1,3,664,664,0,0,15,15
14,4,3,673,673,9,9,14,14
14,8,3,701,701,37,37,12,12
14,16,3,757,757,93,93,9,9
15,0,3,688,688,0,0,0,0
15,1,3,694,694,6,6,15,15
15,4,3,715,715,27,27,14,14
15,8,3,743,743,55,55,12,12
15,16,3,799,799,111,111,9,9
16,0,3,712,712,0,0,0,0
16,1,3,736,736,24,24,15,15
16,4,3,757,757,45,45,14,14
16,8,3,785,785,73,73,12,12
16,16,3,841,841,129,129,9,9
17,0,3,747,747,0,0,0,0
17,1,3,778,778,31,31,15,15
17,4,3,799,799,52,52,14,14
17,8,3,827,827,80,80,12,12
17,16,3,883,883,136,136,9,9
18,0,3,789,789,0,0,0,0
18,1,3,820,820,31,31,15,15
18,4,3,841,841,52,52,14,14
18,8,3,869,869,80,80,12,12
18,16,3,925,925,136,136,9,9
19,0,3,831,831,0,0,0,0
19,1,3,862,862,31,31,15,15
19,4,3,883,883,52,52,14,14
19,8,3,911,911,80,80,12,12
19,16,3,967,967,136,136,9,9
20,0,3,873,873,0,0,0,0
20,1,3,904,904,31,31,15,15
20,4,3,925,925,52,52,14,14
20,8,3,953,953,80,80,12,12
20,16,3,1009,1009,136,136,9,9
21,0,3,915,915,0,0,0,0
21,1,3,946,946,31,31,15,15
21,4,3,967,967,52,52,14,14
21,8,3,995,995,80,80,12,12
21,16,3,1051,1051,136,136,9,9
22,0,3,957,957,0,0,0,0
22,1,3,988,988,31,31,15,15
22,4,3,1009,1009,52,52,14,14
22,8,3,1037,1037,80,80,12,12
22,16,3,1093,1093,136,136,9,9
23,0,3,999,999,0,0,0,0
23,1,3,1030,1030,31,31,15,15
